month,days,canton,companies,employees,followers,other legal forms,AG's,GmbH's,share of AG's,share of GmbH's,financial sector,IT sector,other sectors,share of financial sector,share of IT sector,taxes,working_population,treatment
2018-11-30,1034,ZH,22,1084,10296300687,1,12,9,0.5454545454545454,0.4090909090909091,11,9,2,0.5,0.4090909090909091,4356.0,962059.0,0.0
2018-11-30,1034,GE,7,86,20302,0,3,4,0.4285714285714285,0.5714285714285714,5,1,1,0.7142857142857143,0.1428571428571428,4892.0,312012.0,0.0
2018-12-31,1065,ZG,58,1326,203251516,3,43,12,0.7413793103448276,0.2068965517241379,24,24,9,0.4137931034482758,0.4137931034482758,2361.5,79597.0,0.0
2018-12-31,1065,ZH,23,1085,10296301069,1,12,10,0.5217391304347826,0.4347826086956521,11,10,2,0.4782608695652174,0.4347826086956521,4356.0,962059.0,0.0
2018-12-31,1065,GE,7,86,20302,0,3,4,0.4285714285714285,0.5714285714285714,5,1,1,0.7142857142857143,0.1428571428571428,4892.0,312012.0,0.0
2019-01-31,1096,ZG,59,1331,203251703,3,43,13,0.7288135593220338,0.2203389830508474,24,25,9,0.4067796610169492,0.423728813559322,2338.5,79665.0,0.0
2019-01-31,1096,ZH,23,1085,10296301069,1,12,10,0.5217391304347826,0.4347826086956521,11,10,2,0.4782608695652174,0.4347826086956521,4356.0,972784.0,0.0
2019-01-31,1096,GE,7,86,20302,0,3,4,0.4285714285714285,0.5714285714285714,5,1,1,0.7142857142857143,0.1428571428571428,4893.55,315296.0,0.0
2019-02-28,1124,ZG,59,1331,203251703,3,43,13,0.7288135593220338,0.2203389830508474,24,25,9,0.4067796610169492,0.423728813559322,2338.5,79665.0,0.0
2019-02-28,1124,ZH,24,1086,10296301072,1,13,10,0.5416666666666666,0.4166666666666667,11,10,3,0.4583333333333333,0.4166666666666667,4356.0,972784.0,0.0
2019-02-28,1124,GE,8,88,20405,0,3,5,0.375,0.625,5,1,2,0.625,0.125,4893.55,315296.0,0.0
2019-03-31,1155,ZG,62,1352,203252686,3,46,13,0.7419354838709677,0.2096774193548387,26,26,9,0.4193548387096774,0.4193548387096774,2338.5,79665.0,0.0
2019-03-31,1155,ZH,25,1100,10296308501,2,13,10,0.52,0.4,12,10,3,0.48,0.4,4356.0,972784.0,0.0
2019-03-31,1155,GE,8,88,20405,0,3,5,0.375,0.625,5,1,2,0.625,0.125,4893.55,315296.0,0.0
2019-04-30,1185,ZG,63,1355,203252759,3,47,13,0.746031746031746,0.2063492063492063,27,26,9,0.4285714285714285,0.4126984126984127,2338.5,79665.0,0.0
2019-04-30,1185,ZH,27,1117,10296310211,2,14,11,0.5185185185185185,0.4074074074074074,13,10,4,0.4814814814814814,0.3703703703703703,4356.0,972784.0,0.0
2019-04-30,1185,GE,9,88,20407,0,3,6,0.3333333333333333,0.6666666666666666,5,2,2,0.5555555555555556,0.2222222222222222,4893.55,315296.0,0.0
2019-05-31,1216,ZG,65,1387,203267109,3,49,13,0.7538461538461538,0.2,27,28,9,0.4153846153846154,0.4307692307692308,2338.5,79665.0,0.0
2019-05-31,1216,ZH,27,1117,10296310211,2,14,11,0.5185185185185185,0.4074074074074074,13,10,4,0.4814814814814814,0.3703703703703703,4356.0,972784.0,0.0
2019-05-31,1216,GE,9,88,20407,0,3,6,0.3333333333333333,0.6666666666666666,5,2,2,0.5555555555555556,0.2222222222222222,4893.55,315296.0,0.0
2019-06-30,1246,ZG,66,1405,203268109,3,50,13,0.7575757575757576,0.1969696969696969,28,28,9,0.4242424242424242,0.4242424242424242,2338.5,79665.0,0.0
2019-06-30,1246,ZH,27,1117,10296310211,2,14,11,0.5185185185185185,0.4074074074074074,13,10,4,0.4814814814814814,0.3703703703703703,4356.0,972784.0,0.0
2019-06-30,1246,GE,10,89,20668,1,3,6,0.3,0.6,5,2,3,0.5,0.2,4893.55,315296.0,0.0
2019-07-31,1277,ZG,70,1426,203269514,3,51,16,0.7285714285714285,0.2285714285714285,29,30,10,0.4142857142857143,0.4285714285714285,2338.5,79665.0,0.0
2019-07-31,1277,ZH,27,1117,10296310211,2,14,11,0.5185185185185185,0.4074074074074074,13,10,4,0.4814814814814814,0.3703703703703703,4356.0,972784.0,0.0
