,month,canton,companies,tax burden,working population,share of financial sector,share of IT sector,treatment
324,2017-01-31,BL,0,3542.0,169687.0,,,0.0
325,2017-01-31,SH,1,3364.0,48973.0,0.0,0.0,0.0
326,2017-01-31,AR,0,3390.0,33438.0,,,0.0
327,2017-01-31,AI,0,2838.0,9613.0,,,0.0
328,2017-01-31,SG,0,3476.0,309810.0,,,0.0
329,2017-01-31,GR,0,3602.0,120638.0,,,0.0
330,2017-01-31,AG,0,3021.2,418619.0,,,0.0
331,2017-01-31,TG,0,3286.0,170831.0,,,0.0
332,2017-01-31,TI,0,4365.42,210041.0,,,0.0
333,2017-01-31,VD,1,4267.26,488905.0,0.0,1.0,0.0
334,2017-01-31,VS,0,2812.5,207639.0,,,0.0
335,2017-01-31,NE,0,3126.0,106567.0,,,0.0
336,2017-01-31,GE,0,4892.0,309359.0,,,0.0
337,2017-01-31,JU,0,4408.6,42657.0,,,0.0
338,2017-02-28,ZG,10,2361.0,79087.0,0.3,0.5,0.0
339,2017-02-28,ZH,6,4356.0,952121.0,0.17,0.83,0.0
340,2017-02-28,BE,0,3180.9,622668.0,,,0.0
341,2017-02-28,LU,0,2629.7,252896.0,,,0.0
342,2017-02-28,UR,0,2990.19,21656.0,,,0.0
343,2017-02-28,SZ,0,3063.45,99111.0,,,0.0
344,2017-02-28,OW,1,2726.3,23079.0,1.0,0.0,0.0
345,2017-02-28,NW,0,2541.0,26620.0,,,0.0
346,2017-02-28,GL,0,3362.0,24631.0,,,0.0
347,2017-02-28,FR,0,3103.05,195404.0,,,0.0
348,2017-02-28,SO,0,3273.2,167169.0,,,0.0
349,2017-02-28,BS,0,4857.0,122052.0,,,0.0
350,2017-02-28,BL,0,3542.0,169687.0,,,0.0
351,2017-02-28,SH,1,3364.0,48973.0,0.0,0.0,0.0
352,2017-02-28,AR,0,3390.0,33438.0,,,0.0
353,2017-02-28,AI,0,2838.0,9613.0,,,0.0
354,2017-02-28,SG,0,3476.0,309810.0,,,0.0
355,2017-02-28,GR,0,3602.0,120638.0,,,0.0
356,2017-02-28,AG,0,3021.2,418619.0,,,0.0
357,2017-02-28,TG,0,3286.0,170831.0,,,0.0
358,2017-02-28,TI,0,4365.42,210041.0,,,0.0
359,2017-02-28,VD,1,4267.26,488905.0,0.0,1.0,0.0
360,2017-02-28,VS,0,2812.5,207639.0,,,0.0
361,2017-02-28,NE,0,3126.0,106567.0,,,0.0
362,2017-02-28,GE,0,4892.0,309359.0,,,0.0
363,2017-02-28,JU,0,4408.6,42657.0,,,0.0
364,2017-03-31,ZG,10,2361.0,79087.0,0.3,0.5,0.0
365,2017-03-31,ZH,7,4356.0,952121.0,0.29,0.71,0.0
366,2017-03-31,BE,0,3180.9,622668.0,,,0.0
367,2017-03-31,LU,0,2629.7,252896.0,,,0.0
368,2017-03-31,UR,0,2990.19,21656.0,,,0.0
369,2017-03-31,SZ,0,3063.45,99111.0,,,0.0
370,2017-03-31,OW,1,2726.3,23079.0,1.0,0.0,0.0
371,2017-03-31,NW,0,2541.0,26620.0,,,0.0
372,2017-03-31,GL,0,3362.0,24631.0,,,0.0
373,2017-03-31,FR,0,3103.05,195404.0,,,0.0
374,2017-03-31,SO,0,3273.2,167169.0,,,0.0
375,2017-03-31,BS,0,4857.0,122052.0,,,0.0
376,2017-03-31,BL,0,3542.0,169687.0,,,0.0
