Month,Canton,Companies (Y),Tax Burden (TX),Working Population (WP),Share of financial Sector (f),Share of IT Sector (it),Treatment (t)
2016-10-31,AR,0,3390.0,33434.0,,,0.0
2016-10-31,AI,0,2838.0,9527.0,,,0.0
2016-10-31,SG,0,3475.5,309354.0,,,0.0
2016-10-31,GR,0,3747.0,121002.0,,,0.0
2016-10-31,AG,0,3021.2,415503.0,,,0.0
2016-10-31,TG,0,3286.0,169396.0,,,0.0
2016-10-31,TI,0,4356.299999999999,211291.0,,,0.0
2016-10-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
2016-10-31,VS,0,2812.5,206913.0,,,0.0
2016-10-31,NE,0,3126.0,107176.0,,,0.0
2016-10-31,GE,0,4892.0,305371.0,,,0.0
2016-10-31,JU,0,4408.6,42677.0,,,0.0
2016-11-30,ZG,10,2361.0,78376.0,0.3,0.5,0.0
2016-11-30,ZH,5,4356.0,943505.0,0.2,0.8,0.0
2016-11-30,BE,0,3180.9,622339.0,,,0.0
2016-11-30,LU,0,2629.7,251486.0,,,0.0
2016-11-30,UR,0,3004.4892,21652.0,,,0.0
2016-11-30,SZ,0,3063.45,98333.0,,,0.0
2016-11-30,OW,1,2726.3,23026.0,1.0,0.0,0.0
2016-11-30,NW,0,2541.0,26417.0,,,0.0
2016-11-30,GL,0,3362.0,24584.0,,,0.0
2016-11-30,FR,0,3103.05,193603.0,,,0.0
2016-11-30,SO,0,3331.65,166200.0,,,0.0
2016-11-30,BS,0,4857.0,121641.0,,,0.0
2016-11-30,BL,0,3542.0,169564.0,,,0.0
2016-11-30,SH,1,3383.0,48813.0,0.0,0.0,0.0
2016-11-30,AR,0,3390.0,33434.0,,,0.0
2016-11-30,AI,0,2838.0,9527.0,,,0.0
2016-11-30,SG,0,3475.5,309354.0,,,0.0
2016-11-30,GR,0,3747.0,121002.0,,,0.0
2016-11-30,AG,0,3021.2,415503.0,,,0.0
2016-11-30,TG,0,3286.0,169396.0,,,0.0
2016-11-30,TI,0,4356.299999999999,211291.0,,,0.0
2016-11-30,VD,1,4422.21,483842.0,0.0,1.0,0.0
2016-11-30,VS,0,2812.5,206913.0,,,0.0
2016-11-30,NE,0,3126.0,107176.0,,,0.0
2016-11-30,GE,0,4892.0,305371.0,,,0.0
2016-11-30,JU,0,4408.6,42677.0,,,0.0
2016-12-31,ZG,10,2361.0,78376.0,0.3,0.5,0.0
2016-12-31,ZH,6,4356.0,943505.0,0.1666666666666666,0.8333333333333334,0.0
2016-12-31,BE,0,3180.9,622339.0,,,0.0
2016-12-31,LU,0,2629.7,251486.0,,,0.0
2016-12-31,UR,0,3004.4892,21652.0,,,0.0
2016-12-31,SZ,0,3063.45,98333.0,,,0.0
2016-12-31,OW,1,2726.3,23026.0,1.0,0.0,0.0
2016-12-31,NW,0,2541.0,26417.0,,,0.0
2016-12-31,GL,0,3362.0,24584.0,,,0.0
2016-12-31,FR,0,3103.05,193603.0,,,0.0
2016-12-31,SO,0,3331.65,166200.0,,,0.0
2016-12-31,BS,0,4857.0,121641.0,,,0.0
2016-12-31,BL,0,3542.0,169564.0,,,0.0
2016-12-31,SH,1,3383.0,48813.0,0.0,0.0,0.0
2016-12-31,AR,0,3390.0,33434.0,,,0.0
2016-12-31,AI,0,2838.0,9527.0,,,0.0
2016-12-31,SG,0,3475.5,309354.0,,,0.0
2016-12-31,GR,0,3747.0,121002.0,,,0.0
2016-12-31,AG,0,3021.2,415503.0,,,0.0
2016-12-31,TG,0,3286.0,169396.0,,,0.0
2016-12-31,TI,0,4356.299999999999,211291.0,,,0.0
2016-12-31,VD,1,4422.21,483842.0,0.0,1.0,0.0
2016-12-31,VS,0,2812.5,206913.0,,,0.0
2016-12-31,NE,0,3126.0,107176.0,,,0.0
2016-12-31,GE,0,4892.0,305371.0,,,0.0
2016-12-31,JU,0,4408.6,42677.0,,,0.0
2017-01-31,ZG,10,2361.0,79087.0,0.3,0.5,0.0
2017-01-31,ZH,6,4356.0,952121.0,0.1666666666666666,0.8333333333333334,0.0
2017-01-31,BE,0,3180.9,622668.0,,,0.0
2017-01-31,LU,0,2629.7,252896.0,,,0.0
2017-01-31,UR,0,2990.1892,21656.0,,,0.0
2017-01-31,SZ,0,3063.45,99111.0,,,0.0
2017-01-31,OW,1,2726.3,23079.0,1.0,0.0,0.0
2017-01-31,NW,0,2541.0,26620.0,,,0.0
2017-01-31,GL,0,3362.0,24631.0,,,0.0
2017-01-31,FR,0,3103.05,195404.0,,,0.0
2017-01-31,SO,0,3273.2,167169.0,,,0.0
2017-01-31,BS,0,4857.0,122052.0,,,0.0
2017-01-31,BL,0,3542.0,169687.0,,,0.0
2017-01-31,SH,1,3364.0,48973.0,0.0,0.0,0.0
2017-01-31,AR,0,3390.0,33438.0,,,0.0
2017-01-31,AI,0,2838.0,9613.0,,,0.0
2017-01-31,SG,0,3476.0,309810.0,,,0.0
2017-01-31,GR,0,3602.0,120638.0,,,0.0
2017-01-31,AG,0,3021.2,418619.0,,,0.0
2017-01-31,TG,0,3286.0,170831.0,,,0.0
2017-01-31,TI,0,4365.424999999999,210041.0,,,0.0
2017-01-31,VD,1,4267.26,488905.0,0.0,1.0,0.0
2017-01-31,VS,0,2812.5,207639.0,,,0.0
2017-01-31,NE,0,3126.0,106567.0,,,0.0
2017-01-31,GE,0,4892.0,309359.0,,,0.0
2017-01-31,JU,0,4408.6,42657.0,,,0.0
2017-02-28,ZG,10,2361.0,79087.0,0.3,0.5,0.0
2017-02-28,ZH,6,4356.0,952121.0,0.1666666666666666,0.8333333333333334,0.0
2017-02-28,BE,0,3180.9,622668.0,,,0.0
2017-02-28,LU,0,2629.7,252896.0,,,0.0
2017-02-28,UR,0,2990.1892,21656.0,,,0.0
2017-02-28,SZ,0,3063.45,99111.0,,,0.0
2017-02-28,OW,1,2726.3,23079.0,1.0,0.0,0.0
2017-02-28,NW,0,2541.0,26620.0,,,0.0
2017-02-28,GL,0,3362.0,24631.0,,,0.0
2017-02-28,FR,0,3103.05,195404.0,,,0.0
2017-02-28,SO,0,3273.2,167169.0,,,0.0
2017-02-28,BS,0,4857.0,122052.0,,,0.0
2017-02-28,BL,0,3542.0,169687.0,,,0.0
2017-02-28,SH,1,3364.0,48973.0,0.0,0.0,0.0
2017-02-28,AR,0,3390.0,33438.0,,,0.0
2017-02-28,AI,0,2838.0,9613.0,,,0.0
2017-02-28,SG,0,3476.0,309810.0,,,0.0
2017-02-28,GR,0,3602.0,120638.0,,,0.0
2017-02-28,AG,0,3021.2,418619.0,,,0.0
2017-02-28,TG,0,3286.0,170831.0,,,0.0
2017-02-28,TI,0,4365.424999999999,210041.0,,,0.0
2017-02-28,VD,1,4267.26,488905.0,0.0,1.0,0.0
2017-02-28,VS,0,2812.5,207639.0,,,0.0
2017-02-28,NE,0,3126.0,106567.0,,,0.0
2017-02-28,GE,0,4892.0,309359.0,,,0.0
2017-02-28,JU,0,4408.6,42657.0,,,0.0
2017-03-31,ZG,10,2361.0,79087.0,0.3,0.5,0.0
2017-03-31,ZH,7,4356.0,952121.0,0.2857142857142857,0.7142857142857143,0.0
2017-03-31,BE,0,3180.9,622668.0,,,0.0
2017-03-31,LU,0,2629.7,252896.0,,,0.0
2017-03-31,UR,0,2990.1892,21656.0,,,0.0
2017-03-31,SZ,0,3063.45,99111.0,,,0.0
2017-03-31,OW,1,2726.3,23079.0,1.0,0.0,0.0
2017-03-31,NW,0,2541.0,26620.0,,,0.0
2017-03-31,GL,0,3362.0,24631.0,,,0.0
2017-03-31,FR,0,3103.05,195404.0,,,0.0
2017-03-31,SO,0,3273.2,167169.0,,,0.0
2017-03-31,BS,0,4857.0,122052.0,,,0.0
2017-03-31,BL,0,3542.0,169687.0,,,0.0
2017-03-31,SH,1,3364.0,48973.0,0.0,0.0,0.0
2017-03-31,AR,0,3390.0,33438.0,,,0.0
2017-03-31,AI,0,2838.0,9613.0,,,0.0
2017-03-31,SG,0,3476.0,309810.0,,,0.0
2017-03-31,GR,0,3602.0,120638.0,,,0.0
2017-03-31,AG,0,3021.2,418619.0,,,0.0
2017-03-31,TG,0,3286.0,170831.0,,,0.0
2017-03-31,TI,0,4365.424999999999,210041.0,,,0.0
2017-03-31,VD,1,4267.26,488905.0,0.0,1.0,0.0
2017-03-31,VS,0,2812.5,207639.0,,,0.0
2017-03-31,NE,0,3126.0,106567.0,,,0.0
2017-03-31,GE,0,4892.0,309359.0,,,0.0
2017-03-31,JU,0,4408.6,42657.0,,,0.0
2017-04-30,ZG,12,2361.0,79087.0,0.3333333333333333,0.4166666666666667,0.0
2017-04-30,ZH,7,4356.0,952121.0,0.2857142857142857,0.7142857142857143,0.0
2017-04-30,BE,0,3180.9,622668.0,,,0.0
2017-04-30,LU,0,2629.7,252896.0,,,0.0
2017-04-30,UR,0,2990.1892,21656.0,,,0.0
2017-04-30,SZ,0,3063.45,99111.0,,,0.0
2017-04-30,OW,1,2726.3,23079.0,1.0,0.0,0.0
2017-04-30,NW,0,2541.0,26620.0,,,0.0
2017-04-30,GL,0,3362.0,24631.0,,,0.0
2017-04-30,FR,0,3103.05,195404.0,,,0.0
2017-04-30,SO,0,3273.2,167169.0,,,0.0
2017-04-30,BS,0,4857.0,122052.0,,,0.0
2017-04-30,BL,0,3542.0,169687.0,,,0.0
2017-04-30,SH,1,3364.0,48973.0,0.0,0.0,0.0
2017-04-30,AR,0,3390.0,33438.0,,,0.0
2017-04-30,AI,0,2838.0,9613.0,,,0.0
2017-04-30,SG,0,3476.0,309810.0,,,0.0
2017-04-30,GR,0,3602.0,120638.0,,,0.0
2017-04-30,AG,0,3021.2,418619.0,,,0.0
2017-04-30,TG,0,3286.0,170831.0,,,0.0
2017-04-30,TI,1,4365.424999999999,210041.0,0.0,0.0,0.0
2017-04-30,VD,1,4267.26,488905.0,0.0,1.0,0.0
2017-04-30,VS,0,2812.5,207639.0,,,0.0
2017-04-30,NE,0,3126.0,106567.0,,,0.0
2017-04-30,GE,0,4892.0,309359.0,,,0.0
2017-04-30,JU,0,4408.6,42657.0,,,0.0
2017-05-31,ZG,13,2361.0,79087.0,0.3846153846153846,0.3846153846153846,0.0
2017-05-31,ZH,8,4356.0,952121.0,0.25,0.625,0.0
2017-05-31,BE,0,3180.9,622668.0,,,0.0
2017-05-31,LU,0,2629.7,252896.0,,,0.0
2017-05-31,UR,0,2990.1892,21656.0,,,0.0
2017-05-31,SZ,0,3063.45,99111.0,,,0.0
2017-05-31,OW,1,2726.3,23079.0,1.0,0.0,0.0
2017-05-31,NW,0,2541.0,26620.0,,,0.0
2017-05-31,GL,0,3362.0,24631.0,,,0.0
2017-05-31,FR,0,3103.05,195404.0,,,0.0
2017-05-31,SO,0,3273.2,167169.0,,,0.0
2017-05-31,BS,0,4857.0,122052.0,,,0.0
2017-05-31,BL,0,3542.0,169687.0,,,0.0
2017-05-31,SH,1,3364.0,48973.0,0.0,0.0,0.0
2017-05-31,AR,0,3390.0,33438.0,,,0.0
2017-05-31,AI,0,2838.0,9613.0,,,0.0
2017-05-31,SG,0,3476.0,309810.0,,,0.0
2017-05-31,GR,1,3602.0,120638.0,1.0,0.0,0.0
2017-05-31,AG,0,3021.2,418619.0,,,0.0
2017-05-31,TG,0,3286.0,170831.0,,,0.0
2017-05-31,TI,1,4365.424999999999,210041.0,0.0,0.0,0.0
2017-05-31,VD,1,4267.26,488905.0,0.0,1.0,0.0
2017-05-31,VS,0,2812.5,207639.0,,,0.0
2017-05-31,NE,0,3126.0,106567.0,,,0.0
2017-05-31,GE,0,4892.0,309359.0,,,0.0
2017-05-31,JU,0,4408.6,42657.0,,,0.0
2017-06-30,ZG,16,2361.0,79087.0,0.4375,0.375,0.0
2017-06-30,ZH,8,4356.0,952121.0,0.25,0.625,0.0
2017-06-30,BE,0,3180.9,622668.0,,,0.0
2017-06-30,LU,0,2629.7,252896.0,,,0.0
2017-06-30,UR,0,2990.1892,21656.0,,,0.0
2017-06-30,SZ,0,3063.45,99111.0,,,0.0
2017-06-30,OW,1,2726.3,23079.0,1.0,0.0,0.0
2017-06-30,NW,0,2541.0,26620.0,,,0.0
2017-06-30,GL,0,3362.0,24631.0,,,0.0
2017-06-30,FR,0,3103.05,195404.0,,,0.0
2017-06-30,SO,0,3273.2,167169.0,,,0.0
2017-06-30,BS,0,4857.0,122052.0,,,0.0
2017-06-30,BL,0,3542.0,169687.0,,,0.0
2017-06-30,SH,1,3364.0,48973.0,0.0,0.0,0.0
2017-06-30,AR,0,3390.0,33438.0,,,0.0
2017-06-30,AI,0,2838.0,9613.0,,,0.0
2017-06-30,SG,0,3476.0,309810.0,,,0.0
2017-06-30,GR,1,3602.0,120638.0,1.0,0.0,0.0
2017-06-30,AG,0,3021.2,418619.0,,,0.0
2017-06-30,TG,0,3286.0,170831.0,,,0.0
2017-06-30,TI,1,4365.424999999999,210041.0,0.0,0.0,0.0
2017-06-30,VD,1,4267.26,488905.0,0.0,1.0,0.0
2017-06-30,VS,0,2812.5,207639.0,,,0.0
